DATE,EVENT
6/1/21,SCHOOL
7/1/21,SCHOOL
8/1/21,SCHOOL
9/1/21,SCHOOL
10/1/21,SCHOOL
11/1/21,SCHOOL
12/1/21,SCHOOL
13/1/21,SCHOOL
14/1/21,SCHOOL
15/1/21,SCHOOL
16/1/21,SCHOOL
17/1/21,SCHOOL
18/1/21,SCHOOL
19/1/21,SCHOOL
20/1/21,SCHOOL
21/1/21,SCHOOL
22/1/21,SCHOOL
23/1/21,SCHOOL
24/1/21,SCHOOL
25/1/21,SCHOOL
26/1/21,SCHOOL
6/4/12,SCHOOL
7/4/12,SCHOOL
8/4/12,SCHOOL
9/4/12,SCHOOL
10/4/12,SCHOOL
11/4/12,SCHOOL
12/4/12,SCHOOL
13/4/12,SCHOOL
14/4/12,SCHOOL
15/4/12,SCHOOL
16/4/12,SCHOOL
17/4/12,SCHOOL
18/4/12,SCHOOL
19/4/12,SCHOOL
20/4/12,SCHOOL
21/4/12,SCHOOL
22/4/12,SCHOOL
30/6/12,SCHOOL
1/7/12,SCHOOL
2/7/12,SCHOOL
3/7/12,SCHOOL
4/7/12,SCHOOL
5/7/12,SCHOOL
6/7/12,SCHOOL
7/7/12,SCHOOL
8/7/12,SCHOOL
9/7/12,SCHOOL
10/7/12,SCHOOL
11/7/12,SCHOOL
12/7/12,SCHOOL
13/7/12,SCHOOL
14/7/12,SCHOOL
15/7/12,SCHOOL
22/9/12,SCHOOL
23/9/12,SCHOOL
24/9/12,SCHOOL
25/9/12,SCHOOL
26/9/12,SCHOOL
27/9/12,SCHOOL
28/9/12,SCHOOL
29/9/12,SCHOOL
30/9/12,SCHOOL
1/10/12,SCHOOL
2/10/12,SCHOOL
3/10/12,SCHOOL
4/10/12,SCHOOL
5/10/12,SCHOOL
6/10/12,SCHOOL
7/10/12,SCHOOL
15/12/12,SCHOOL
16/12/12,SCHOOL
17/12/12,SCHOOL
18/12/12,SCHOOL
19/12/12,SCHOOL
20/12/12,SCHOOL
21/12/12,SCHOOL
22/12/12,SCHOOL
23/12/12,SCHOOL
