DATE,EVENT
22/04/2012,SCHOOL
30/06/2012,SCHOOL
01/07/2012,SCHOOL
02/07/2012,SCHOOL
03/07/2012,SCHOOL
04/07/2012,SCHOOL
05/07/2012,SCHOOL
06/07/2012,SCHOOL
07/07/2012,SCHOOL
08/07/2012,SCHOOL
09/07/2012,SCHOOL
10/07/2012,SCHOOL
11/07/2012,SCHOOL
12/07/2012,SCHOOL
13/07/2012,SCHOOL
14/07/2012,SCHOOL
15/07/2012,SCHOOL
22/09/2012,SCHOOL
23/09/2012,SCHOOL
24/09/2012,SCHOOL
25/09/2012,SCHOOL
26/09/2012,SCHOOL
27/09/2012,SCHOOL
28/09/2012,SCHOOL
29/09/2012,SCHOOL
30/09/2012,SCHOOL
2/10/2012,SCHOOL
3/10/2012,SCHOOL
4/10/2012,SCHOOL
5/10/2012,SCHOOL
6/10/2012,SCHOOL
7/10/2012,SCHOOL
10/01/2013,SCHOOL
11/01/2013,SCHOOL
12/01/2013,SCHOOL
13/01/2013,SCHOOL
14/01/2013,SCHOOL
15/01/2013,SCHOOL
16/01/2013,SCHOOL
17/01/2013,SCHOOL
18/01/2013,SCHOOL
19/01/2013,SCHOOL
20/01/2013,SCHOOL
21/01/2013,SCHOOL
22/01/2013,SCHOOL
23/01/2013,SCHOOL
24/01/2013,SCHOOL
25/01/2013,SCHOOL
26/01/2013,SCHOOL
27/01/2013,SCHOOL
15/04/2013,SCHOOL
16/04/2013,SCHOOL
17/04/2013,SCHOOL
18/04/2013,SCHOOL
19/04/2013,SCHOOL
20/04/2013,SCHOOL
21/04/2013,SCHOOL
22/04/2013,SCHOOL
23/04/2013,SCHOOL
24/04/2013,SCHOOL
26/04/2013,SCHOOL
08/07/2013,SCHOOL
09/07/2013,SCHOOL
10/07/2013,SCHOOL
11/07/2013,SCHOOL
12/07/2013,SCHOOL
13/07/2013,SCHOOL
14/07/2013,SCHOOL
15/07/2013,SCHOOL
16/07/2013,SCHOOL
17/07/2013,SCHOOL
18/07/2013,SCHOOL
19/07/2013,SCHOOL
30/09/2013,SCHOOL
1/10/2013,SCHOOL
2/10/2013,SCHOOL
3/10/2013,SCHOOL
4/10/2013,SCHOOL
5/10/2013,SCHOOL
6/10/2013,SCHOOL
8/10/2013,SCHOOL
9/10/2013,SCHOOL
10/10/2013,SCHOOL
11/10/2013,SCHOOL
10/01/2014,SCHOOL
11/01/2014,SCHOOL
12/01/2014,SCHOOL
13/01/2014,SCHOOL
14/01/2014,SCHOOL
15/01/2014,SCHOOL
16/01/2014,SCHOOL
17/01/2014,SCHOOL
18/01/2014,SCHOOL
19/01/2014,SCHOOL
20/01/2014,SCHOOL
21/01/2014,SCHOOL
22/01/2014,SCHOOL
23/01/2014,SCHOOL
24/01/2014,SCHOOL
25/01/2014,SCHOOL
26/01/2014,SCHOOL
22/04/2014,SCHOOL
23/04/2014,SCHOOL
24/04/2014,SCHOOL
07/07/2014,SCHOOL
08/07/2014,SCHOOL
09/07/2014,SCHOOL
10/07/2014,SCHOOL
11/07/2014,SCHOOL
12/07/2014,SCHOOL
13/07/2014,SCHOOL
14/07/2014,SCHOOL
15/07/2014,SCHOOL
16/07/2014,SCHOOL
17/07/2014,SCHOOL
18/07/2014,SCHOOL
29/09/2014,SCHOOL
30/09/2014,SCHOOL
1/10/2014,SCHOOL
2/10/2014,SCHOOL
3/10/2014,SCHOOL
4/10/2014,SCHOOL
5/10/2014,SCHOOL
7/10/2014,SCHOOL
8/10/2014,SCHOOL
9/10/2014,SCHOOL
10/10/2014,SCHOOL
10/01/2015,SCHOOL
11/01/2015,SCHOOL
12/01/2015,SCHOOL
13/01/2015,SCHOOL
14/01/2015,SCHOOL
15/01/2015,SCHOOL
16/01/2015,SCHOOL
17/01/2015,SCHOOL
18/01/2015,SCHOOL
19/01/2015,SCHOOL
20/01/2015,SCHOOL
21/01/2015,SCHOOL
22/01/2015,SCHOOL
23/01/2015,SCHOOL
24/01/2015,SCHOOL
25/01/2015,SCHOOL
27/01/2015,SCHOOL
13/04/2015,SCHOOL
14/04/2015,SCHOOL
15/04/2015,SCHOOL
16/04/2015,SCHOOL
17/04/2015,SCHOOL
18/04/2015,SCHOOL
19/04/2015,SCHOOL
20/04/2015,SCHOOL
21/04/2015,SCHOOL
22/04/2015,SCHOOL
23/04/2015,SCHOOL
24/04/2015,SCHOOL
06/07/2015,SCHOOL
07/07/2015,SCHOOL
08/07/2015,SCHOOL
09/07/2015,SCHOOL
10/07/2015,SCHOOL
11/07/2015,SCHOOL
12/07/2015,SCHOOL
13/07/2015,SCHOOL
14/07/2015,SCHOOL
15/07/2015,SCHOOL
16/07/2015,SCHOOL
17/07/2015,SCHOOL
28/09/2015,SCHOOL
29/09/2015,SCHOOL
30/09/2015,SCHOOL
1/10/2015,SCHOOL
2/10/2015,SCHOOL
3/10/2015,SCHOOL
4/10/2015,SCHOOL
6/10/2015,SCHOOL
7/10/2015,SCHOOL
8/10/2015,SCHOOL
9/10/2015,SCHOOL
10/01/2016,SCHOOL
11/01/2016,SCHOOL
12/01/2016,SCHOOL
13/01/2016,SCHOOL
14/01/2016,SCHOOL
15/01/2016,SCHOOL
16/01/2016,SCHOOL
17/01/2016,SCHOOL
18/01/2016,SCHOOL
19/01/2016,SCHOOL
20/01/2016,SCHOOL
21/01/2016,SCHOOL
22/01/2016,SCHOOL
23/01/2016,SCHOOL
24/01/2016,SCHOOL
25/01/2016,SCHOOL
27/01/2016,SCHOOL
28/01/2016,SCHOOL
29/01/2016,SCHOOL
16/04/2016,SCHOOL
17/04/2016,SCHOOL
18/04/2016,SCHOOL
19/04/2016,SCHOOL
20/04/2016,SCHOOL
21/04/2016,SCHOOL
22/04/2016,SCHOOL
23/04/2016,SCHOOL
24/04/2016,SCHOOL
26/04/2016,SCHOOL
27/04/2016,SCHOOL
